cidade,sigla_uf,segmento,nome_comercial,telefone,email,capital_social,endereco_completo
Almenara,MG,FARMA - Farmácia,DROGARIA PRECO BAIXO,33 37216372,d.drogariaprecobaixo@bol.com.br,104500,"RUA ARGEMIRO AGUILAR, 606 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,FARMACIA DO TRABALHADOR NOVO DIA,77 91346915,manfrinecontabilidade@gmail.com,100000,"AVENIDA CARLYLE GUIMARAES, 122 - SANTO ANTONIO, Almenara - MG"
Almenara,MG,MERCADO - Perecíveis,SUPERMERCADO ALMENARA LTDA,33 87529499,coto@contabteixeira.com.br,100000,"RUA ARGEMIRO AGUILAR, 1427 - PEDRO GOMES, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA DO POVO,33 88906207,manfrine.almeida@yahoo.com.br,100000,"RUA ARGEMIRO AGUILAR, 1419 - PEDRO GOMES, Almenara - MG"
Almenara,MG,AGRO - Revenda,COMERCIAL ILMAR,33 37212616,heliocontador@yahoo.com.br,100000,"RUA BIAS FORTES, 620 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA ALVORADA POPULAR LTDA,31 98629297,vivianeclourenco8@gmail.com,100000,"RUA ALEIXO PARAGUASSU, 271 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,FARMACIA POPULAR,33 91262376,tomaz_pm@hotmail.com,100000,"RUA ARGEMIRO AGUILAR, 639 - CENTRO, Almenara - MG"
Almenara,MG,MERCADO - Perecíveis,JK SUPERMERCADO,33 37212115,coto@futuraassessoriacontabil.com.br,100000,"RUA ARGEMIRO AGUILAR, 1427 - PEDRO GOMES, Almenara - MG"
Almenara,MG,AGRO - Revenda,COMERCIAL FERRAZ,33 88469862,comercialferrazz@gmail.com,80000,"AVENIDA OLINDO DE MIRANDA, 100 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,FARMACIA 24 HORAS,33 38410000,farmacia24horasalmenara@gmail.com,80000,"AVENIDA OLINDO DE MIRANDA, 74 - CENTRO, Almenara - MG"
Almenara,MG,PET - Petshop,MUNDO ANIMAL,33 99561728,manfrinecontabilidade@gmail.com,80000,"AVENIDA OLINDO DE MIRANDA, 362 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,FARMACIA IMPERATRIZ,33 88713063,islandiasouza@hotmail.com,80000,"RUA EXUPERIO CANGUSSU, 339 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,POSTO DE MEDICAMENTOS PEDRA GRANDE,33 99145466,geraldo.santos2@yahoo.com.br,80000,"AVENIDA ELIZIARIO GOBIRA, 67 - PEDRA GRANDE, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA ALTERNATIVA,33 37213846,zelitogil@yahoo.com.br,70000,"AVENIDA OLINDO DE MIRANDA, 967 - SAO PEDRO, Almenara - MG"
Almenara,MG,AGRO - Revenda,NOVA AGROPET,33 88373436,novaagropetalmenara@gmail.com,60000,"EIXO RODOVIARIO MG 406, 24 - CIDADE NOVA, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA SANTA FE,33 37261212,protecmg@yahoo.com.br,60000,"AVENIDA OLINDO DE MIRANDA, 1070 - SAO PEDRO, Almenara - MG"
Almenara,MG,AGRO - Revenda,DS AGRO RURAL,33 88086235,fabiano@meritocontabilidade.com,60000,"RUA BIAS FORTES, 702 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA IDEAL,33 88259752,nai.farmcai@gmail.com,50000,"RUA SILVINO PATENTE, 206 - SAO PEDRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA MIRANDA,33 88065055,adeildenatura@hotmail.com,50000,"RUA VEREADOR NUNO HELIO ALVES SILVA, 91 - PARQUE SAO JOAO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,PHARMA VIDA,33 37221009,contatocontabilidade@yahoo.com.br,50000,"RODOVIA BR 367, 117 - CIDADE NOVA, Almenara - MG"
Almenara,MG,AGRO - Revenda,AGROTERRA COMERCIO DE INSUMOS AGROPECUARIOS,33 99784478,rjfamaral@hotmail.com,50000,"RUA TIRADENTES, 494 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA SANTA LUZIA,33 99145466,drogsantaluzia.dim@homtail.com,50000,"RUA FLAVIANO ANTUNES DOS REIS, 809 - SAO FRANCISCO, Almenara - MG"
Almenara,MG,AGRO - Revenda,CASA RURAL FERRAZ & CIA,33 88631684,leandrovieira175@hotmail.com,50000,"AVENIDA THIAGO SOUZA CARVALHO, 384 - CIDADE NOVA, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA JAPAO LTDA,33 88968536,gildaziopiresdasilva@gmail.com,50000,"RUA HERMANO DE SOUZA, 391 - CENTRO, Almenara - MG"
Almenara,MG,AGRO - Revenda,AGRO MAGNO,33 37211230,magnocerealista@hotmail.com,50000,"RUA ALEIXO PARAGUASSU, 254 - CENTRO, Almenara - MG"
Almenara,MG,AGRO - Revenda,AGROPAN AGROVETERINARIA,33 88517643,contabilidadeoliveira10@gmail.com,50000,"RUA DERALDO GUIMARAES, 160 - CENTRO, Almenara - MG"
Almenara,MG,AGRO - Revenda,SAUDE ANIMAL,33 84427970,saudeanimal81@gmail.com,45000,"RUA BIAS FORTES, 690 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA MEDIFARMA DE ALMENARA, ,,40000,"RUA HERMANO SOUZA, 391 - CENTRO, Almenara - MG"
Almenara,MG,AGRO - Revenda,ZOOMAX,33 37451277,contabiljoaima@gmail.com,35000,"AVENIDA OLINDO DE MIRANDA, 1380 - PEDRO GOMES, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGANOVA,33 37211468,rener@byalnet.com.br,30000,"AVENIDA JUSCELINO KUBISTCHEK, 100 - CIDADE NOVA, Almenara - MG"
Almenara,MG,AGRO - Revenda,SAUDE ANIMAL,33 88814636,saudeanimal240@gmail.com,30000,"RUA SEVERIANO COUTINHO, 240 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,FARMACIA DO TRABALHADOR ALMENARA,33 87391651,alfa.cont@yahoo.com.br,30000,"RUA SEVERIANO COUTINHO, 253 - CENTRO, Almenara - MG"
Almenara,MG,PET - Petshop,FILIPE OLIVEIRA DOS SANTOS COMERCIO E SERVICOS,33 37214814,oliveirafilipe12241@gmail.com,30000,"1A RUA TIRADENTES, 758 - CENTRO, Almenara - MG"
Almenara,MG,FARMA - Farmácia,DROGARIA MG MENOR PRECO,33 88266848,drogariamenorprecomv@outlook.com,30000,"RUA HERMANO DE SOUZA, 201 - CENTRO, Almenara - MG"
Angelândia,MG,AGRO - Revenda,NUTRISAFRA AGRONEGOCIOS,33 88898032,tor4contabilidade@uai.com.br,200000,"PRACA ANTONIO DIAS, 651 - CENTRO, Angelândia - MG"
Angelândia,MG,AGRO - Revenda,VALE RURAL AGROPECUARIA,33 88844843,tor4contabilidade@uai.com.br,200000,"RUA MILITAO GOMES, 50 - CENTRO, Angelândia - MG"
Angelândia,MG,FARMA - Farmácia,DROGARIA BEM ESTAR,33 87200221,aranasc@uai.com.br,105000,"AVENIDA VICENTE PEGO, 22 - CENTRO, Angelândia - MG"
Angelândia,MG,FARMA - Farmácia,DROGARIA ANGELANDIA,33 35161151,aranasc@uai.com.br,100000,"AVENIDA VICENTE PEGO, 06 - CENTRO, Angelândia - MG"
Angelândia,MG,AGRO - Revenda,TRUNFO AGROVET,33 84584653,tor4contabilidade@uai.com.br,100000,"PRACA ANTONIO DIAS, 572 - CENTRO, Angelândia - MG"
Angelândia,MG,PET - Petshop,"GATO PRETO RACOES, ADUBOS E PRODUTOS VETERINARIOS LTDA",33 35164425,somacont@uaivip.com.br,94000,"PRACA ANTONIO DIAS, 222 - CENTRO, Angelândia - MG"
Angelândia,MG,FARMA - Farmácia,DROGARIA CENTRAL,33 35161214,mazecont@uai.com.br,50000,"PRACA  ANTONIO DIAS, 456 - CENTRO, Angelândia - MG"
Angelândia,MG,AGRO - Revenda,CASA DE RACAO SAO CAMILO,33 88496036,tor4contabilidade@uai.com.br,50000,"AVENIDA ELZA PAIVA DA LUZ, 501 - CENTRO, Angelândia - MG"
Angelândia,MG,AGRO - Revenda,CASA DO CAMPO,33 98594511,tor4contabilidade@uai.com.br,50000,"BECO SARA RODRIGUES, 31 - CENTRO, Angelândia - MG"
Angelândia,MG,FARMA - Farmácia,DROGARIA LIDERANCA,33 35161214,mazecont@uai.com.br,50000,"AVENIDA VICENTE PEGO, 54 - CENTRO, Angelândia - MG"
Angelândia,MG,MERCADO - Perecíveis,SUPERMERCADO MUNDIAL VILA NOVA,33 98272228,jusabn@hotmail.com,30000,"AVENIDA ANGELO TORQUATO DE SOUZA, 256 - VILA NOVA, Angelândia - MG"
Angelândia,MG,FARMA - Farmácia,MEDCAP,33 91084503,drogariamedicap@hotmail.com,30000,"RUA ANTONIO DIAS, 456 - CENTRO, Angelândia - MG"
Araçuaí,MG,MERCADO - Perecíveis,JS ATACAREJO,33 88286026,cadastrofiscal@escritaonline.cnt.br,1000000,"RUA JOAO JOSE DE SOUZA, 945 - BELA VISTA, Araçuaí - MG"
Araçuaí,MG,MERCADO - Perecíveis,SUPERMERCADO SEVIA LTDA, ,,400000,"RUA JOSE ANTONIO ARAUJO, 230 - CENTRO, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,FARMACIA DO VALE,33 99282233,valefcia@gmail.com,180000,"RUA FREI ROGATO, 184 - ALTO MERCADO, Araçuaí - MG"
Araçuaí,MG,MERCADO - Perecíveis,SUPERMERCADO ARRASTAO,38 38412577,henflas@uol.com.br,150000,"PRAÇA MANOEL FULGENCIO, 74 - CENTRO, Araçuaí - MG"
Araçuaí,MG,MERCADO - Perecíveis,DISTRIBUIDORA DE ALIMENTOS JEQUITINHONHA INOVA SIMPLES (I.S.),71 84235055,comercialdistribuidora2023@gmail.com,133000,"RUA  JOSE PINTO COLARES, 235 - ALTO SANTUARIO, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,DROGARIA DAS ROSAS,33 37314171,drogariadasrosas@yahoo.com.br,110000,"PRACA DAS ROSAS, 22 - NOVA TERRA, Araçuaí - MG"
Araçuaí,MG,MERCADO - Perecíveis,SUPER+BARATO,33 99057226,dnacont@outlook.com,108000,"RUA MONTES CLAROS, 226 - ESPLANADA, Araçuaí - MG"
Araçuaí,MG,AGRO - Revenda,FBL EMPREENDIMENTOS,33 99594500,fblempreendimentosminerarios@gmail.com,100000,"FAZENDA MA004-00001, 99999 - ZONA RURAL, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,FARMACIA VIVA MAIS,33 99296980,dnacont@outlook.com,100000,"RUA CLEMENTE SANTANA, 776 - PLANALTO VILA MAGNOLIA, Araçuaí - MG"
Araçuaí,MG,MERCADO - Perecíveis,SUPERMERCADO PAIS & FILHOS,33 37312855,financeiro@supermercadopef.com.br,100000,"RUA PREFEITO FRANKLIN FULGENCIO, 508 - CANOEIRO JOSE ALVES DE CARVALHO, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,DROGARIAS REDE LIGA FARMA,33 37311415,coecont@uai.com.br,100000,"RUA OSORIO COLARES, 335 - ALTO MERCADO, Araçuaí - MG"
Araçuaí,MG,MERCADO - Perecíveis,SUPERMERCADO ARRASTAO,38 38411445,henflas@uol.com.br,100000,"PRACA MANOEL FULGENCIO, 74 - CENTRO, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,DROGARIA ARAFARMA,33 99003554,drogariaarafarma@gmail.com,95000,"RUA JOSE ANTONIO ARAUJO, 137 - ALTO MERCADO, Araçuaí - MG"
Araçuaí,MG,MERCADO - Perecíveis,K-IAU ATACAREJO,33 37311007,cadastrofiscal@escritaonline.cnt.br,90000,"RUA RAFAEL AMARAL DA PAIXAO, 15 - SANTA TEREZA, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,DROGARIA NOVA ESPERANCA,33 99999904,novaesperancaaracuai@gmail.com,80000,"PRACA MANOEL FULGENCIO, 278 - CENTRO, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,DROGARIA DAS ROSAS,33 99561108,drogariadasrosas@yahoo.com.br,70000,"RUA PROFESSORA MARIA GOMES CARDOSO, 265 - PLANALTO VILA MAGNOLIA, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,FARMACIA DROGARIA E PERFUMARIA JULIA,33 37312003,jumarasr@hotmail.com,70000,"RUA FREI ROGATO, 216 - ALTO DO MERCADO, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,POUPE MAIS FARMA,73 91795553,poupemaisaracuai@gmail.com,50000,"RUA FREI ROGATO, 182 - CENTRO, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,DROGARIA POPULAR,33 37311059,coecont@uai.com.br,50000,"RUA OSORIO COLARES, 291 - ALTO MERCADO, Araçuaí - MG"
Araçuaí,MG,AGRO - Revenda,BIOPLANT,33 37312206,castelocontabilidade@hotmail.com,50000,"RUA PERNAMBUCO, 42 - CENTRO, Araçuaí - MG"
Araçuaí,MG,PET - Petshop,55.339.489 MICHAEL MARTINS DOS SANTOS,33 98774411,michaelgatosecoo@gmail.com,50000,"10A AVENIDA AVENIDA BOM JESUS, 1200 - BELA VISTA, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,DROGARIA BORBOREMA,33 37311087,contato@gsaminas.com.br,45000,"RUA OSORIO COLARES, 274 - ALTO MERCADO, Araçuaí - MG"
Araçuaí,MG,MERCADO - Perecíveis,SUPERMERCADO ALCANTARA,33 37313996,exatasolucoes@hotmail.com,40000,"RUA PREFEITO FRANKLIN FULGENCIO, 426 - CANOEIRO, Araçuaí - MG"
Araçuaí,MG,AGRO - Revenda,BODAO RURAL,33 37314455,bodaorural@hotmail.com,40000,"RUA JOSE ANTONIO ARAUJO, 36 - CENTRO, Araçuaí - MG"
Araçuaí,MG,MERCADO - Perecíveis,SUPER MAIS,33 91227484,castelocontabilidade@hotmail.com,30000,"RUA JOAO BARRETO, 75 - PEDREGULHO, Araçuaí - MG"
Araçuaí,MG,AGRO - Revenda,CASA DO CRIADOR,33 37313575,casadocriador.ara@hotmail.com,30000,"RUA OSORIO COLARES, 145 - CENTRO, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,DROGARIA BRASIL,33 37361219,lumarcontabil@yahoo.com.br,30000,"RUA OSORIO COLARES, 291 - ALTO MERCADO, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,DROGARIA SILVIA,33 37311728,drogasilvia@hotmail.com,30000,"RUA OSORIO COLARES, 285 - CENTRO, Araçuaí - MG"
Araçuaí,MG,FARMA - Farmácia,DROGARIA BEM ESTAR,33 99036661,drogariasantospereira@hotmail.com,30000,"RUA OSORIO COLARES, 145 - ALTO MERCADO, Araçuaí - MG"
Aricanduva,MG,PET - Petshop,SOLUCAO RURAL,33 35159207,aranasc@uai.com.br,100000,"PRACA DA MATRIZ, 364 - CENTRO, Aricanduva - MG"
Aricanduva,MG,FARMA - Farmácia,DROGARIA POPULAR,33 88095332,vicoon@uol.com.br,60000,"AVENIDA DO CONTORNO, 140 - ALVORADA, Aricanduva - MG"
Aricanduva,MG,FARMA - Farmácia,DROGARIA MAIS SAUDE,33 88095332,vicoon@uol.com.br,60000,"RUA SETE DE SETEMBRO, 105 - CENTRO, Aricanduva - MG"
Aricanduva,MG,MERCADO - Perecíveis,SUPERMERCADO ARICANDUVA,31 96406361,admsupnovohorizonte@gmail.com,50000,"RUA DA SAUDADE, 1150 - NOVO HORIZONTE, Aricanduva - MG"
Aricanduva,MG,MERCADO - Perecíveis,COMERCIAL ECONOMIZE,38 35211864,polliane@gasquelcontabilidade.com.br,50000,"FAZENDA OURO FINO, 9999 - POVOADO DOS CARNEIROS, Aricanduva - MG"
Aricanduva,MG,FARMA - Farmácia,DROGARIA ARICANDUVA,33 88658014,montfarma.aricanduva@gmail.com,30000,"PRACA DA MATRIZ, 364 - CENTRO, Aricanduva - MG"
Aricanduva,MG,PET - Petshop,PLANETA ANIMAL PET SHOP E SOLUCOES AGROPECUARIAS,33 88910863,contabilidade-uniao@hotmail.com,30000,"RUA DA SAUDADE, 109 - CENTRO, Aricanduva - MG"
Aricanduva,MG,FARMA - Farmácia,GANDRA FARMACEUTICA,33 88190045,drogaria.gandra@yahoo.com,30000,"RUA TARCISIO GERALDO ANDRADE, 112A - CENTRO, Aricanduva - MG"
Bandeira,MG,PET - Petshop,NUTRISILOS NUTRICAO ANIMAL,33 37221009,contatocontabilidade@yahoo.com.br,120000,"FAZENDA SAO JOSE, SN - ZONA RURAL, Bandeira - MG"
Bandeira,MG,FARMA - Farmácia,DROGARIAS BEM POPULAR BRASIL,33 88716144,articula777@gmail.com,120000,"PRACA LAURINDO SILVA, 03 - CENTRO, Bandeira - MG"
Bandeira,MG,FARMA - Farmácia,POSTO DE MEDICAMENTOS TIMORANTE,33 99104356,coto@futuraassessoriacontabil.com.br,100000,"RUA BENJAMIN DOS SANTOS ROCHA, 58 - TIMORANTE, Bandeira - MG"
Bandeira,MG,FARMA - Farmácia,DROGARIA DRUGSTORE E VIVA MAIS,77 91346915,manfrine.almeida@yahoo.com.br,100000,"PRACA LAURINDO SILVA, 3 - CENTRO, Bandeira - MG"
Bandeira,MG,FARMA - Farmácia,FARMACIA VITAL SAUDE,33 88903360,kaiquefarmacia@outlook.com,80000,"PRACA ADELINO RODRIGUES, 04 - CENTRO, Bandeira - MG"
Berilo,MG,MERCADO - Perecíveis,SUPERMERCADO MARTUCHELI LTDA,33 37371204,siare@escritaonline.cnt.br,200000,"RUA CORONEL AMARAL, 64 - CENTRO, Berilo - MG"
Berilo,MG,PET - Petshop,BRAULIO DE SOUSA FIGUEIRO,33 88839264,brauliofigueiro@gmail.com,40000,"RUA MARIA PEREIRA SALES, 62 - BELA VISTA, Berilo - MG"
Berilo,MG,FARMA - Farmácia,FARMACIA PAGUE POUCO,33 37361504,paguepoucoberilo@gmail.com,40000,"AVENIDA GERALDO ALVES MARTINS, 157 - SAO FRANCISCO, Berilo - MG"
Berilo,MG,FARMA - Farmácia,DROGARIA MULTIVIDA LTDA,33 99185552,contato@drogariamultivida.com.br,40000,"PRACA SAO NORBERTO, 04 - LELIVELDIA, Berilo - MG"
Berilo,MG,AGRO - Revenda,GF AGROVETERINARIA,33 99939942,dirceugomes1@hotmail.com,35000,"COMUNIDADE ALTO BRAVO, SN - ZONA RURAL, Berilo - MG"
Berilo,MG,FARMA - Farmácia,DROGARIA MINAS PHARMA,33 37371713,contabilidadeberilo@gmail.com,30000,"RUA JOAO C. AMARAL, 47 - CENTRO, Berilo - MG"
Berilo,MG,FARMA - Farmácia,FARMACIA DO TRABALHADOR DE LELIVELDIA,33 99716195,cardosovieiracontabilidade@gmail.com,30000,"RODOVIA BR LMG 677, 4 - LELIVELDIA, Berilo - MG"
Cachoeira de Pajeú,MG,MERCADO - Perecíveis,ESTRELA DO VALE SUPERMERCADOS LTDA,33 37513330,cadastrofiscal@escritaonline.cnt.br,230000,"RUA CLEMENTE MEDRADO, 96 - CENTRO, Cachoeira de Pajeú - MG"
Cachoeira de Pajeú,MG,FARMA - Farmácia,DROGARIA CENTRAL,33 37541649,,100000,"PRACA RUI BARBOSA, 27 - CENTRO, Cachoeira de Pajeú - MG"
Cachoeira de Pajeú,MG,FARMA - Farmácia,FARMAX,33 99326811,econtabilconsultoria.assessoria@gmail.com,60000,"RUA AFONSO PENA, 54 - CENTRO, Cachoeira de Pajeú - MG"
Cachoeira de Pajeú,MG,FARMA - Farmácia,DROGARIA CUIDAR,33 88510547,conceitoservicos1@gmail.com,48000,"RUA CLEMENTE MEDRADO, 100 - CENTRO, Cachoeira de Pajeú - MG"
Cachoeira de Pajeú,MG,FARMA - Farmácia,POSTO DE MEDICAMENTOS KARIRI LTDA,33 99742341,j.lopescontabil@hotmail.com,40000,"AVENIDA RIO BAHIA, 05 - TANCREDO NEVES, Cachoeira de Pajeú - MG"
Cachoeira de Pajeú,MG,FARMA - Farmácia,POSTO DE MEDICAMENTOS AMIGAO,33 37512575,amigao2000@yahoo.com,30000,"RUA ADILSON ROCHA, 36 - POVOADO DE AGUAS ALTAS, Cachoeira de Pajeú - MG"
Capelinha,MG,MERCADO - Perecíveis,SUPERMERCADOS BH COMERCIO DE ALIMENTOS S/A,33 35164097,leonardo@supermercadosbh.com.br,50000000,"RUA RIO BRANCO, 1255 - PLANALTO, Capelinha - MG"
Capelinha,MG,MERCADO - Perecíveis,SUPERMERCADO FARNEZE E ALVES LTDA,33 35161461,farnezzenacoes2@gmail.com,2000000,"RUA ANTARTIDA, 90 - NACOES, Capelinha - MG"
Capelinha,MG,AGRO - Revenda,SUPER SAFRA, ,,1679000,"RUA RIO BRANCO, 955 - CENTRO, Capelinha - MG"
Capelinha,MG,AGRO - Revenda,TRES VALES AGROPECUARIA LTDA, ,,1000000,"RUA RIO BRANCO, 1213 - PLANALTO, Capelinha - MG"
Capelinha,MG,AGRO - Revenda,GRAO FORTE PECAS & AGRONEGOCIOS LTDA,33 84139522,helenice-melo@hotmail.com,650000,"AVENIDA TICO NEVES, 2281 - APARECIDA, Capelinha - MG"
Capelinha,MG,MERCADO - Perecíveis,BARATEIRO CENTER,33 35221085,siare@escritaonline.cnt.br,500000,"RUA GOVERNADOR VALADARES, 168 - CENTRO, Capelinha - MG"
Capelinha,MG,AGRO - Revenda,AGRO SHOP,37 32372880,edlaine@grupoagromg.com.br,458530,"RUA RIO BRANCO, 1057 - PLANALTO, Capelinha - MG"
Capelinha,MG,MERCADO - Perecíveis,SUPERMERCADO CALDEIRA,33 35164266,megaprimus.supermercados@gmail.com,360000,"RUA BELO HORIZONTE, 256 - MARIA LUCIA, Capelinha - MG"
Capelinha,MG,PET - Petshop,AGROSOCIOS RACOES,33 91002959,exatassolucoes@yahoo.com.br,300000,"RUA BELO HORIZONTE, 320 - MARIA LUCIA, Capelinha - MG"
Capelinha,MG,AGRO - Revenda,CAMPO VERDE,27 81425803,bruna@assergro.com.br,250000,"RUA RIO BRANCO, 808 - PLANALTO, Capelinha - MG"
Capelinha,MG,FARMA - Farmácia,MEDCAP,38 99548024,drogariamedcap2@hotmail.com,250000,"RUA GOVERNADOR VALADARES, 90 - CENTRO, Capelinha - MG"
Capelinha,MG,AGRO - Revenda,SHOPPING RURAL,33 35163640,bigben.agro@comercialbigben.com.br,200000,"RUA RIO BRANCO, 808 - PLANALTO, Capelinha - MG"
Capelinha,MG,MERCADO - Perecíveis,MERCADO MUITO MAIS,33 35163998,rodrigosilva.contabil@hotmail.com,150000,"AVENIDA DIAMANTE, 377 - VISTA ALEGRE, Capelinha - MG"
Capelinha,MG,MERCADO - Perecíveis,IDEAL SUPERMECADOS,33 91042429,contfoccus@gmail.com,150000,"RUA BELO HORIZONTE, 256 - MARIA LUCIA, Capelinha - MG"
Capelinha,MG,FARMA - Farmácia,DROGARIA SAUDE FARMA,33 35161306,multcont_multcont@yahoo.com.br,150000,"AVENIDA TANCREDO NEVES, 1290 - PIEDADE, Capelinha - MG"
Capelinha,MG,FARMA - Farmácia,DROGARIA RONDI FARMA LTDA,33 35163897,tatiane.value@gmail.com,150000,"AVENIDA TANCREDO NEVES, 959 - PIEDADE, Capelinha - MG"
Capelinha,MG,PET - Petshop,CUIDAR CLINICA VETERINARIA & PET SHOP,33 35163998,rodrigosilva.contabil@hotmail.com,150000,"RUA RIO BRANCO, 525 - CENTRO, Capelinha - MG"
Capelinha,MG,MERCADO - Perecíveis,SUPERMERCADO ECONOMAIS LTDA,33 87300238,siare@escritaonline.cnt.br,150000,"AVENIDA CLOVIS PIMENTA, 53 - CENTRO, Capelinha - MG"
